Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Label,ImageName,Caption
1.6052941002189431,0.1640130430230643,-3.895138911926635,-3.9172384030134824,-0.11369384645345613,-0.09631396220814564,1.2149045394441738,-0.38937291098674903,-2.5824462697257617,1.6519671052292506,1,000000344013.jpg,A man hits a tennis ball in the middle of a match.
1.2508304824407905,9.668766607419343,-8.043794858370912,8.486977959100635,-0.44892699166445543,1.3887515581220478,-2.3584988295101676,2.3041881930689687,0.2508127690296472,0.29353405643283054,1,000000344013.jpg,A person holding a tennis racket in their hands.
0.5615161606629304,-0.034103657361930106,-4.103522318043047,-1.9690817920056172,0.7468613889524377,0.44026387265839384,4.238573106907639,-1.437420738920854,3.292159913023633,-1.9085425265546647,1,000000098298.jpg,A woman in a restroom is checking her cell phone.
0.8743867448014381,-0.04530405667743351,-4.157474571619702,-1.9821323107954028,0.5555306549396521,-1.0485809051436592,3.985950283711066,-1.6633346034348222,2.707782102329277,-2.0450203210763935,1,000000098298.jpg,A woman takes a photo of herself in a public bathroom.
1.2682044879635954,2.58247499177728,-0.5416880852560898,-5.953418660421552,1.9322620324951434,-3.8340240258272837,-1.4476059779258978,3.0092119360405456,1.9042348217228824,5.126651001578469,1,000000474391.jpg,An overhead view of a man standing in front of an opened toilet bowl.
-4.238961209370206,-1.752271790206909,-1.7063711531234376,-0.0886530806284153,1.9365141558068824,1.7956633083355702,0.042136505118272154,-3.0885335421442814,-2.437567185766283,-6.107169456312202,3,000000474391.jpg,An open white toilet seat in a tiled bathroom
-4.400299937416814,-2.7033761201410793,-1.5280302467300741,0.16613377587814943,2.9319336505482774,0.7818238908934512,-0.04485496938072369,-2.3912553856104863,-2.348098267741963,-3.432308331751961,3,000000474391.jpg,An open white toilet seat in a tiled bathroom
-2.3909484379932433,7.46655033916422,5.657131290474285,-2.016751252610212,0.11939782550767133,-3.572662103704744,-1.4299221545333725,1.6912906692377534,1.9681848644205706,0.6997082353323318,1,000000501493.jpg,Lots of people are in a long boat paddling down a river.
-2.3909484379932433,7.46655033916422,5.657131290474285,-2.0167512526102116,0.11939782550767022,-3.5726621037047437,-1.4299221545333725,1.6912906692377419,1.9681848644205568,0.6997082353322848,1,000000501493.jpg,a group of people on a paddle boat in the water
-1.7900724939154338,5.429858280083987,3.3623794773944518,0.4918374321519323,-0.7128894325219169,-1.3094750822344559,0.20726546448055483,-0.8864827764319532,-1.1386655831729804,-2.4451472707417254,1,000000501493.jpg,A long boat is filled with people wearing life jackets holding paddles.
-2.854674925267625,2.6862843169678787,2.5543078410632174,1.241854607577228,-3.8167789634406173,1.3789328121395563,-0.655350343634707,-4.103930407635117,-1.4798058795040725,-1.3949070907301542,1,000000288769.jpg,People ride bicycles outside of a Bosch bowling alley.
-6.248261420030309,-6.135326702580081,0.6920710773562565,1.0218734130572582,-6.376120978909796,0.7307258998234893,-3.2456608951552606,-5.4783806251757765,0.9435733830395686,-0.05904005685682822,3,000000288769.jpg,People ride bicycles outside of a Bosch bowling alley.
-6.283244766421163,-6.320286107094953,0.07423038713435623,1.6000243422341367,-7.070897461471128,-0.7849109308859503,-3.4766351876620285,-7.019961349872396,1.233351933303645,1.2004542310440998,2,000000288769.jpg,A row of table and chairs and people riding bikes outside of business.
-2.3909484379932433,7.46655033916422,5.657131290474285,-2.0167512526102116,0.1193978255076723,-3.572662103704743,-1.429922154533377,1.6912906692377399,1.968184864420594,0.6997082353323595,1,000000288769.jpg,A couple of people riding bikes outside a shop
-6.283244766421163,-6.320286107094953,0.07423038713435623,1.6000243422341367,-7.070897461471128,-0.7849109308859502,-3.476635187662029,-7.019961349872396,1.2333519333036456,1.2004542310441007,2,000000288769.jpg,A couple of people riding bikes outside a shop
21.228073461196615,-0.6228458393250154,-0.2328924504796936,-6.179882065187607,-2.6985211411420877,5.24180372168643,-4.690009873943147,2.2051554734731065,0.021238393590092646,2.369523500352195,1,000000175863.jpg,A young man riding a skateboard down a street.
-5.780673767796623,-0.588152508671975,2.4661519416760975,-3.9687090882357103,0.7846201952623889,-7.7844818201736965,-2.1938122916034595,4.677513122459904,2.378849904699171,0.16190502085935168,3,000000175863.jpg,a skateboarder riding down the middle of the road in the shadows
